334080	operadora unefon sa de cv
46697	taiwan cellular
46692	chunghwa telecom ldm
46693	mobitai
46690	taiwan star telecom
313400	texoma communications, llc
63415	sudani one
312060	coverageco
46699	transasia
63782	somtel
311900	gigsky
41201	afghan wireless/awcc
41203	waseltelecom (wt)
311630	cellular south inc.
310180	cingular wireless
90123	unassigned
90122	medialincc ltd
90121	wins limited
90120	intermatica
90127	monaco telecom
90126	telecom italia mobile
90125	unassigned
312160	rsa 1 limited partnership
90129	telenor
90128	gdsp (vodafone's global data service platform)
62304	nationlink
62302	telecel centraf.
62303	orange/celca
62301	centrafr. telecom+
302760	public mobile
21408	euskaltel sa
63090	africell
310980	at&t; wireless inc.
21404	yoigo
21405	movistar
21406	vodafone enabler espana sl
21407	movistar
21401	vodafone
21402	alta tecnologia en comunicacions sl
21403	orange
54501	telecom services kiribati ltd
54502	oceanlink
312150	northwest missouri cellular lp
40517	reliance
54509	kiribati frigate
71615	viettel mobile
71617	nextel
312290	uintah basin electronics telecommunications inc.
302680	sask tel mobility
27830	mobile communications limited
704?	intelfon guatemala
310870	kaplan telephone company inc.
310720	syniverse technologies
405874	jio
302350	first networks operations
405870	jio
405871	jio
405872	jio
405873	jio
334001	comunicaciones digitales del norte, s.a. de c.v.
65550	ericsson south africa (pty) ltd
62126	swift
62127	smile communications nigeria
28409	compatel limited
62125	visafone
62122	interc network ltd.
50590	singtel optus
62120	airtel/zain/econet
28403	btc mobile eood (vivatel)
28401	mobiltel ad
28407	национална компания железопътна инфраструктура
28406	btc mobile eood (vivatel)
28405	telenor/cosmo/globul
25504	intertelecom ltd (it)
405863	jio
313350	dish network
310610	elkhart telco. / epic touch co.
31006	consolidated telcom
40449	airtel
40448	unknown
40441	rpg cellular
40440	airtel
40443	vodafone india
40442	aircel
40445	airtel
40444	spice
360110	c & w
311580	u.s. cellular
43201	ertebatat iran
356070	uts
311570	bend cable communications llc
23486	ee
45432	hong kong broadband network ltd
310500	public service cellular inc.
47009	bangladesh internet exchange limited (biel)
405860	jio
47004	teletalk
47005	citycell
47006	citycell
47007	airtel/warid
312750	artemis networks llc
47001	grameenphone
47002	robi/aktel
47003	orascom/banglalink
51021	indosat/satelindo/m3
51020	pt telkom indonesia tbk
51027	pt sampoerna telekomunikasi indonesia (sti)
51028	pt smartfren telecom tbk
311050	thumb cellular limited partnership
27002	mtx connect s.a.r.l.
27001	p+t/post luxgsm
73601	viva/nuevatel
73603	tigo
73602	entel pcs
50518	pactel international pty ltd
50519	lycamobile pty ltd
50516	victorian rail track corp. (victrack)
50517	optus
50514	aapt ltd.
50515	3gis
50512	h3g ltd.
50513	railcorp/vodafone
50510	norfolk telecom
50511	telstra corp. ltd.
312950	custer telephone co-op (ctci)
312980	mark twain communications company
311130	lightsquared l.p.
35670	uts cariglobe
73020	inversiones santa fe limitada
73023	claro servicios empresariales s. a.
22288	wind (blu) -
405041	tata docomo
405043	tata docomo
311284	verizon wireless
405045	tata docomo
405044	tata docomo
405047	tata docomo
405046	tata docomo
23802	telenor/sonofon
23803	mach connectivity aps
23801	tdc denmark
23806	h3g
23807	mundio mobile
23804	nextgen mobile ltd (cardboardfish)
310470	docomo
55301	tuvalu telecommunication corporation (ttc)
312810	bristol bay telephone cooperative
65302	swazi mobile limited
65301	swazitelecom
302420	a.b.c. allen business communications ltd.
311470	vitelcom cellular inc.
20605	telenet bidco nv
312930	hewlett-packard communication services, llc
302250	alo mobile inc.
732001	tigo/colombia movil
311220	united states cellular corp.
21890	bh mobile
311370	gci communication corp.
64011	smile communications tanzania ltd
64012	mycell limited
64013	wiafrica tanzania limited
302510	videotron
24444	turun ammattikorkeakoulu oy
732103	tigo/colombia movil
732102	movistar
732101	comcel s.a. occel s.a./celcaribe
22250	iliad italia
65541	south african police service
310066	u.s. cellular
310060	consolidated telcom
342810	cingular wireless
65546	sms cellular services (pty) ltd
45402	csl ltd.
45403	h3g/hutchinson
45400	csl ltd.
45401	citic telecom ltd.
45406	vodafone/smartone
45407	china unicom ltd
45404	h3g/hutchinson
45405	h3g/hutchinson
61804	comium bvi
45408	truephone
45409	china motion
61801	lonestar
61802	libercell
312800	cirrus core networks
